#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent
1	USA	49,224,876	+53,873	800,830	+368	38,957,463	+38,965	9,466,583	12,545	147,495	2,400	750,195,290	2,247,851	333,738,930	North America
2	India	34,580,832	+8,309	468,790	+236	33,998,278	+9,481	113,764	8,944	24,716	335	639,427,262	457,020	1,399,124,343	Asia
3	Brazil	22,080,906	+4,043	614,314	+78	21,293,314	+5,033	173,278	8,318	102,851	2,861	63,776,166	297,063	214,689,251	South America
4	UK	10,146,476	+37,534	144,775	+51	8,985,054	+33,221	1,016,647	925	148,365	2,117	360,375,873	5,269,519	68,388,756	Europe
5	Russia	9,570,373	+33,548	272,755	+1,224	8,268,111	+30,646	1,029,507	2,300	65,540	1,868	224,100,000	1,534,693	146,022,711	Europe
6	Turkey	8,746,055	+21,655	76,446	+213	8,278,610	+20,007	390,999	1,405	102,152	893	106,962,684	1,249,303	85,617,869	Asia
7	France	7,620,048	+31,648	118,894	+23	7,100,810	+2,163	400,344	1,563	116,377	1,816	162,981,031	2,489,127	65,477,182	Europe
8	Iran	6,108,882	+3,781	129,629	+80	5,863,248	+10,182	116,005	3,347	71,443	1,516	38,439,240	449,542	85,507,509	Asia
9	Germany	5,782,961	+38,444	101,411	+71	4,823,700	+20,600	857,850	4,202	68,713	1,205	83,816,414	995,897	84,161,690	Europe
10	Argentina	5,326,448	+888	116,529	+12	5,191,054	+1,547	18,865	600	116,348	2,545	26,132,048	570,815	45,780,258	South America
11	Spain	5,146,286	+7,637	87,991	+18	4,918,684	+2,514	139,611	597	110,010	1,881	66,213,858	1,415,421	46,780,318	Europe
12	Colombia	5,065,373	+2,196	128,437	+43	4,905,431	+2,200	31,505	342	98,077	2,487	28,017,929	542,488	51,647,114	South America
13	Italy	5,007,815	+12,929	133,674	+47	4,687,701	+5,383	186,440	638	82,998	2,215	118,335,763	1,961,266	60,336,430	Europe
14	Indonesia	4,255,936	+264	143,808	+1	4,103,914	+275	8,214		15,331	518	53,947,389	194,335	277,599,289	Asia
15	Mexico	3,882,792	+2,956	293,859	+245	3,238,558	+2,040	350,375	4,798	29,676	2,246	11,828,650	90,404	130,841,601	North America
16	Poland	3,507,846	+20,594	83,037	+51	3,000,312	+22,204	424,497	1,816	92,829	2,197	24,289,149	642,772	37,788,148	Europe
17	Ukraine	3,422,023	+7,483	85,117	+400	2,910,237	+10,270	426,669	177	78,916	1,963	15,819,249	364,809	43,363,093	Europe
18	South Africa	2,961,406	+2,858	89,797	+6	2,847,771	+688	23,838	546	49,061	1,488	19,413,079	321,610	60,362,167	Africa
19	Philippines	2,831,710	+741	48,360	+155	2,766,592	+993	16,758	1,023	25,366	433	24,146,328	216,296	111,635,697	Asia
20	Malaysia	2,623,816	+4,239	30,309	+29	2,527,052	+5,007	66,455	511	79,630	920	37,558,312	1,139,851	32,950,208	Asia
21	Netherlands	2,599,579	+22,133	19,317	+45	2,096,666	+7,334	483,596	546	151,241	1,124	19,205,114	1,117,334	17,188,334	Europe
22	Peru	2,234,075	+1,326	201,108	+37	N/A	N/A	N/A	956	66,453	5,982	20,249,074	602,313	33,618,839	South America
23	Czechia	2,123,088	+12,518	32,878	+78	1,834,929	+187	255,281	948	197,736	3,062	43,471,260	4,048,735	10,736,997	Europe
24	Thailand	2,106,813	+5,854	20,705	+30	2,006,856	+6,354	79,252	1,595	30,077	296	14,913,135	212,902	70,046,951	Asia
25	Iraq	2,079,622	+538	23,793	+21	2,042,299	+1,321	13,530	109	50,120	573	16,302,398	392,899	41,492,616	Asia
26	Canada	1,787,810	+2,619	29,643	+9	1,730,548	+2,218	27,619	480	46,791	776	48,666,978	1,273,720	38,208,540	North America
27	Romania	1,776,949	+1,377	56,290	+88	1,679,942	+4,758	40,717	1,212	93,246	2,954	15,975,149	838,298	19,056,639	Europe
28	Chile	1,759,405	+2,328	38,313	+31	1,652,453	+2,244	68,639	676	90,937	1,980	25,485,043	1,317,229	19,347,472	South America
29	Japan	1,727,070	+135	18,358	+1	1,707,758	+133	954	43	13,714	146	27,794,963	220,717	125,930,320	Asia
30	Belgium	1,701,633		26,840		1,307,154		367,639	669	145,928	2,302	24,287,332	2,082,830	11,660,737	Europe
31	Bangladesh	1,575,784	+205	27,978	+3	1,540,317	+299	7,489	1,384	9,436	168	10,852,058	64,982	167,001,564	Asia
32	Israel	1,342,210	+329	8,189	+5	1,327,046		6,975	125	143,921	878	31,188,024	3,344,202	9,326,000	Asia
33	Pakistan	1,284,189	+303	28,709	+5	1,241,761	+172	13,719	946	5,659	127	21,913,668	96,566	226,930,233	Asia
34	Serbia	1,250,393	+1,674	11,588	+51	1,185,545	+4,553	53,260	209	143,926	1,334	6,782,905	780,746	8,687,725	Europe
35	Vietnam	1,210,340	+12,936	24,882	+190	958,636	+1,712	226,822	6,096	12,279	252	67,855,824	688,382	98,572,901	Asia
36	Sweden	1,198,848		15,113		1,157,338	+2,057	26,397	32	117,672	1,483	13,586,095	1,333,534	10,188,038	Europe
37	Austria	1,143,283	+10,478	12,388	+39	982,292	+14,107	148,603	620	125,928	1,364	109,825,145	12,096,822	9,078,843	Europe
38	Portugal	1,142,707	+2,897	18,417	+12	1,070,573	+857	53,717	104	112,529	1,814	21,165,845	2,084,325	10,154,772	Europe
39	Hungary	1,068,888		33,866		862,534		172,488	695	111,045	3,518	8,298,820	862,148	9,625,751	Europe
40	Switzerland	999,041	+4,013	11,508	+6	858,435	+1,793	129,098	179	114,257	1,316	12,159,978	1,390,691	8,743,836	Europe
41	Kazakhstan	970,092	+847	12,667	+16	933,986	+879	23,439	528	50,808	663	11,575,012	606,239	19,093,146	Asia
42	Cuba	962,220	+153	8,300		952,938	+199	982	30	85,025	733	11,066,303	977,859	11,316,865	North America
