#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent
1	USA	50,424,897	+129,232	814,181	+1,366	39,815,866	+71,029	9,794,850	14,473	151,067	2,439	768,344,446	2,301,867	333,791,863	North America
2	India	34,666,241	+9,419	474,111	+159	34,089,137	+9,525	102,993	8,944	24,771	339	650,660,144	464,925	1,399,494,746	Asia
3	Brazil	22,167,781	+10,055	616,298	+231	21,399,316	+13,045	152,167	8,318	103,235	2,870	63,776,166	297,006	214,730,471	South America
4	UK	10,610,114	+51,060	145,987	+161	9,340,390	+39,692	1,123,737	880	155,122	2,134	371,694,121	5,434,245	68,398,479	Europe
5	Russia	9,895,597	+30,752	284,823	+1,179	8,602,067	+36,976	1,008,707	2,300	67,767	1,951	229,200,000	1,569,601	146,024,415	Europe
6	Turkey	8,964,711	+20,874	78,407	+192	8,516,522	+29,833	369,782	1,128	104,676	916	110,515,595	1,290,427	85,642,651	Asia
7	France	8,048,931	+61,340	120,032	+133	7,231,425	+20,194	697,474	2,426	122,920	1,833	170,480,237	2,603,502	65,481,117	Europe
8	Germany	6,339,593	+68,832	104,932	+571	5,225,700	+55,300	1,008,961	4,636	75,320	1,247	85,782,441	1,019,169	84,168,990	Europe
9	Iran	6,144,644	+3,309	130,446	+90	5,943,467	+6,492	70,731	3,185	71,836	1,525	39,632,983	463,344	85,536,882	Asia
10	Argentina	5,348,123	+1,881	116,708	+5	5,206,911	+1,377	24,504	692	116,793	2,549	26,536,077	579,497	45,791,578	South America
11	Spain	5,259,221	+12,455	88,271	+34	4,939,507	+2,105	231,443	814	112,423	1,887	66,213,858	1,415,406	46,780,811	Europe
12	Italy	5,152,253	+17,948	134,472	+86	4,768,578	+9,540	249,203	791	85,396	2,229	123,896,511	2,053,510	60,334,010	Europe
13	Colombia	5,086,381	+1,915	128,929	+55	4,927,104	+1,660	30,348	342	98,455	2,496	28,478,384	551,245	51,661,923	South America
14	Indonesia	4,258,340	+264	143,909	+16	4,109,068	+351	5,363		15,336	518	56,927,434	205,012	277,678,266	Asia
15	Mexico	3,905,319	+3,304	295,601	+289	3,262,422	+2,338	347,296	4,798	29,839	2,259	11,976,549	91,509	130,878,589	North America
16	Poland	3,732,590	+28,543	86,795	+591	3,194,731	+10,055	451,064	2,026	98,780	2,297	25,210,982	667,186	37,787,020	Europe
17	Ukraine	3,519,981	+9,371	89,436	+450	3,109,423	+26,804	321,122	177	81,188	2,063	16,160,332	372,736	43,355,952	Europe
18	South Africa	3,071,064	+19,842	90,038	+36	2,867,966	+3,318	113,060	546	50,860	1,491	19,912,794	329,777	60,382,597	Africa
19	Philippines	2,835,434	+211	49,760	+170	2,773,009	+546	12,665	899	25,390	446	24,522,686	219,589	111,675,551	Asia
20	Netherlands	2,808,892	+18,062	19,842	+72	2,193,044	+11,736	596,006	633	163,409	1,154	19,205,114	1,117,267	17,189,367	Europe
21	Malaysia	2,673,019	+5,020	30,746	+28	2,581,395	+4,525	60,878	428	81,095	933	38,730,402	1,175,018	32,961,537	Asia
22	Czechia	2,282,322	+19,481	34,092	+100	1,980,676	+682	267,554	1,040	212,555	3,175	45,056,810	4,196,196	10,737,538	Europe
23	Peru	2,248,447	+1,814	201,490	+40	N/A	N/A	N/A	987	66,856	5,991	20,674,445	614,737	33,631,391	South America
24	Thailand	2,152,384	+3,618	21,033	+38	2,067,149	+5,775	64,202	1,369	30,726	300	14,913,135	212,887	70,051,723	Asia
25	Iraq	2,086,192	+606	23,931	+12	2,052,656	+744	9,605	97	50,249	576	16,488,181	397,140	41,517,337	Asia
26	Belgium	1,879,784	+10,878	27,360	+41	1,395,359	+8,063	457,065	817	161,187	2,346	25,457,760	2,182,946	11,662,112	Europe
27	Canada	1,818,742	+3,527	29,852	+25	1,758,980	+2,795	29,910	497	47,589	781	49,600,916	1,297,856	38,217,571	North America
28	Romania	1,789,539	+1,279	57,362	+86	1,707,968	+2,072	24,209	807	93,924	3,011	16,277,670	854,330	19,053,151	Europe
29	Chile	1,776,599	+1,387	38,541	+6	1,672,907	+2,249	65,151	685	91,805	1,992	26,103,609	1,348,888	19,351,950	South America
30	Japan	1,728,113	+98	18,367	+2	1,708,924	+105	822	27	13,724	146	28,257,592	224,409	125,919,788	Asia
31	Bangladesh	1,578,288	+277	28,016	+6	1,543,204	+296	7,068	1,394	9,448	168	11,041,406	66,098	167,046,359	Asia
32	Vietnam	1,352,122	+14,599	26,930	+230	1,036,393	+24,737	288,799	7,506	13,714	273	70,427,988	714,303	98,596,806	Asia
33	Israel	1,348,333	+859	8,210		1,333,967	+484	6,156	103	144,578	880	35,400,109	3,795,851	9,326,000	Asia
34	Pakistan	1,287,703	+310	28,793	+9	1,247,066	+283	11,844	783	5,672	127	22,338,650	98,388	227,047,616	Asia
35	Serbia	1,268,787	+1,675	12,036	+41	1,218,981	+2,608	37,770	194	146,060	1,386	6,927,098	797,431	8,686,768	Europe
36	Sweden	1,226,055	+3,253	15,152		1,164,019	+495	46,884	54	120,322	1,487	13,934,770	1,367,527	10,189,756	Europe
37	Austria	1,212,999	+5,663	12,979	+58	1,109,972	+11,685	90,048	638	133,587	1,429	113,690,976	12,520,696	9,080,244	Europe
38	Portugal	1,177,706	+5,286	18,587	+15	1,096,285	+3,021	62,834	138	115,985	1,831	21,858,506	2,152,707	10,153,963	Europe
39	Hungary	1,168,728	+6,849	36,048	+213	948,385	+9,549	184,295	607	121,425	3,745	8,701,776	904,073	9,625,084	Europe
40	Switzerland	1,091,584	+10,489	11,734	+14	879,693	+1,523	200,157	250	124,816	1,342	12,890,712	1,473,972	8,745,563	Europe
41	Jordan	993,339	+5,180	11,850	+33	916,406	+4,501	65,083	1,175	95,987	1,145	12,564,015	1,214,074	10,348,640	Asia
42	Greece	984,301	+5,899	18,901	+86	896,009	+6,503	69,391	709	95,103	1,826	39,234,558	3,790,834	10,349,848	Europe
43	Kazakhstan	977,031	+704	12,802	+11	944,485	+1,244	19,744	528	51,155	670	11,575,012	606,044	19,099,281	Asia
44	Cuba	963,347	+78	8,311		954,572	+145	464	16	85,126	734	11,250,174	994,123	11,316,677	North America
45	Morocco	950,946	+145	14,792	+4	933,658	+242	2,496	347	25,332	394	10,526,057	280,404	37,538,915	Africa
46	Georgia	875,806	+4,226	12,519	+53	817,963	+4,091	45,324		220,154	3,147	11,934,934	3,000,116	3,978,158	Asia
47	Nepal	823,357	+255	11,547	+2	805,571	+366	6,239	114	27,547	386	4,688,348	156,859	29,888,993	Asia
48	Slovakia	748,969	+9,425	15,095	+91	616,734	+10,211	117,140	629	137,087	2,763	4,783,316	875,513	5,463,444	Europe
49	UAE	742,507	+69	2,149		737,570	+89	2,788		73,793	214	103,547,813	10,290,949	10,062,028	Asia
50	Tunisia	718,866	+170	25,413	+6	692,068	+145	1,385	53	59,924	2,118	3,211,069	267,673	11,996,260	Africa
51	Bulgaria	709,537	+1,652	29,279	+116	581,749	+2,690	98,509	631	103,232	4,260	6,792,182	988,209	6,873,227	Europe
52	Lebanon	683,326	+1,994	8,804	+9	638,065	+231	36,457	186	100,763	1,298	4,795,578	707,156	6,781,497	Asia
53	Belarus	667,893	+1,756	5,210	+17	657,109	+2,108	5,574		70,715	552	10,574,547	1,119,609	9,444,855	Europe
54	Croatia	639,778	+4,751	11,383	+54	601,174	+2,583	27,221	320	157,238	2,798	3,535,311	868,870	4,068,863	Europe
55	Guatemala	620,853	+418	16,008	+9	603,756	+410	1,089	5	33,758	870	3,166,569	172,178	18,391,215	North America
56	Ireland	606,852	+4,126	5,788	+81	468,593	+3,173	132,471	118	120,959	1,154	9,178,076	1,829,392	5,017,010	Europe
57	Azerbaijan	599,713	+1,210	8,019	+15	569,238	+1,853	22,456		58,392	781	5,633,054	548,471	10,270,470	Asia
58	Sri Lanka	569,928	+757	14,533	+28	543,467	+356	11,928		26,456	675	5,695,096	264,368	21,542,283	Asia
59	Costa Rica	567,824	+118	7,324		557,620	+839	2,880	76	110,023	1,419	2,715,029	526,072	5,160,946	North America
60	Saudi Arabia	550,043	+46	8,849	+2	539,205	+64	1,989	29	15,454	249	31,825,816	894,178	35,592,274	Asia
61	Bolivia	546,155	+1,489	19,264	+17	499,564	+782	27,327	220	45,889	1,619	2,593,083	217,875	11,901,674	South America
62	Ecuador	530,126		33,494		443,880		52,752	759	29,406	1,858	2,053,558	113,911	18,027,706	South America
63	Denmark	529,210	+6,629	2,972	+7	459,462	+4,417	66,776	66	90,906	511	96,901,673	16,645,430	5,821,518	Europe
64	Myanmar	525,403	+394	19,157	+11	501,520	+819	4,726		9,564	349	5,734,899	104,396	54,933,920	Asia
65	S. Korea	489,484	+7,174	4,020	+63	413,740	+2,382	71,724	840	9,536	78	15,804,065	307,876	51,332,611	Asia
66	Lithuania	484,581	+2,026	6,903	+12	449,287	+1,353	28,391	130	181,651	2,588	6,285,547	2,356,207	2,667,655	Europe
67	Panama	479,901	+338	7,381	+2	469,431	+242	3,089	20	108,765	1,673	4,289,247	972,115	4,412,282	North America
