#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent
1	USA	50,060,500	+78,131	809,574	+411	39,552,467	+41,297	9,698,459	13,780	149,982	2,426	762,235,227	2,283,673	333,775,983	North America
2	India	34,641,561	+8,306	473,537	+211	34,060,774	+6,918	107,250	8,944	24,755	338	647,252,850	462,527	1,399,383,625	Asia
3	Brazil	22,143,091	+4,844	615,674	+68	21,362,553	+3,201	164,864	8,318	103,126	2,867	63,776,166	297,023	214,718,105	South America
4	UK	10,463,780	+43,789	145,605	+54	9,220,626	+32,495	1,097,549	895	152,989	2,129	368,154,460	5,382,724	68,395,562	Europe
5	Russia	9,801,613	+32,602	281,278	+1,206	8,502,406	+30,593	1,017,929	2,300	67,123	1,926	228,000,000	1,561,388	146,023,904	Europe
6	Turkey	8,901,117	+19,357	77,830	+185	8,436,712	+24,278	386,575	1,405	103,942	909	109,449,755	1,278,093	85,635,216	Asia
7	France	7,917,264	+42,252	119,535	+29	7,171,380	+3,192	626,349	2,066	120,911	1,826	167,925,512	2,564,534	65,479,937	Europe
8	Germany	6,179,839	+35,983	103,604	+74	5,082,500	+24,400	993,735	4,636	73,424	1,231	85,782,441	1,019,196	84,166,800	Europe
9	Iran	6,134,465	+3,109	130,200	+76	5,923,316	+7,117	80,949	3,249	71,725	1,522	39,093,355	457,082	85,528,070	Asia
10	Argentina	5,340,676	+1,294	116,646	+3	5,201,840	+1,699	22,190	656	116,639	2,548	26,410,553	576,798	45,788,182	South America
11	Spain	5,202,958		88,159		4,927,391		187,408	814	111,220	1,885	66,213,858	1,415,411	46,780,663	Europe
12	Italy	5,109,073	+15,012	134,195	+43	4,742,887	+6,685	231,991	736	84,679	2,224	122,335,117	2,027,607	60,334,736	Europe
13	Colombia	5,081,064	+2,077	128,780	+47	4,921,311	+2,692	30,973	342	98,361	2,493	28,330,663	548,433	51,657,480	South America
14	Indonesia	4,257,685	+196	143,867	+4	4,106,292	+298	7,526		15,334	518	55,884,039	201,272	277,654,573	Asia
15	Mexico	3,900,293	+2,841	295,154	+251	3,255,802	+2,736	349,337	4,798	29,803	2,255	11,944,625	91,273	130,867,492	North America
16	Poland	3,671,421	+22,389	85,675	+45	3,142,265	+25,390	443,481	1,969	97,160	2,267	24,870,097	658,159	37,787,358	Europe
17	Ukraine	3,497,477	+6,622	88,280	+278	3,050,659	+9,274	358,538	177	80,665	2,036	16,076,359	370,781	43,358,094	Europe
18	South Africa	3,031,694	+11,125	89,966	+1	2,858,144	+2,670	83,584	546	50,213	1,490	19,761,834	327,310	60,376,468	Africa
19	Philippines	2,834,611	+439	49,386	+156	2,771,277	+788	13,948	899	25,385	442	24,390,103	218,425	111,663,595	Asia
20	Netherlands	2,751,954	+23,078	19,668	+26	2,158,065	+10,855	574,221	593	160,099	1,144	19,205,114	1,117,287	17,189,057	Europe
21	Malaysia	2,658,772	+4,298	30,614	+40	2,566,159	+4,927	61,999	471	80,671	929	38,384,583	1,164,647	32,958,138	Asia
22	Peru	2,243,415	+769	201,379	+19	N/A	N/A	N/A	972	66,713	5,988	20,555,444	611,267	33,627,626	South America
23	Czechia	2,240,794	+10,977	33,754	+102	1,942,232	+289	264,808	1,018	208,691	3,144	44,283,281	4,124,218	10,737,376	Europe
24	Thailand	2,141,241	+4,704	20,942	+27	2,048,815	+6,149	71,484	1,369	30,567	299	14,913,135	212,892	70,050,291	Asia
25	Iraq	2,084,346	+457	23,885	+12	2,050,033	+839	10,428	94	50,213	575	16,431,593	395,847	41,509,921	Asia
26	Belgium	1,842,761	+15,294	27,224	+57	1,368,222	+9,965	447,315	804	158,018	2,334	25,109,681	2,153,175	11,661,699	Europe
27	Canada	1,809,368	+3,401	29,773	+5	1,748,969	+2,797	30,626	497	47,347	779	49,332,335	1,290,920	38,214,862	North America
28	Romania	1,786,036	+916	57,105	+73	1,701,727	+2,644	27,204	910	93,735	2,997	16,166,181	848,431	19,054,198	Europe
29	Chile	1,772,547	+1,927	38,501	+36	1,665,361	+2,484	68,685	693	91,602	1,990	25,950,496	1,341,069	19,350,607	South America
30	Japan	1,727,828	+127	18,364		1,708,638	+133	826	29	13,721	146	28,132,870	223,413	125,922,947	Asia
31	Bangladesh	1,577,443	+197	28,001	+6	1,542,274	+226	7,168	1,373	9,444	168	10,981,606	65,745	167,032,920	Asia
32	Israel	1,346,106	+614	8,204		1,332,425	+681	5,477	109	144,339	880	35,234,839	3,778,130	9,326,000	Asia
33	Vietnam	1,309,092	+14,314	26,260	+199	1,009,277	+1,711	273,555	6,854	13,278	266	69,737,261	707,349	98,589,635	Asia
