#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent
1	USA	49,878,049	+147,434	808,116	+1,353	39,463,245	+73,599	9,606,688	13,714	149,440	2,421	759,601,375	2,275,854	333,765,397	North America
2	India	34,624,360	+8,603	470,530	+415	34,045,666	+8,612	108,164	8,944	24,744	336	644,668,082	460,704	1,399,309,544	Asia
3	Brazil	22,129,409	+10,627	615,454	+229	21,357,412	+5,907	156,543	8,318	103,067	2,866	63,776,166	297,034	214,709,861	South America
4	UK	10,378,256	+50,120	145,424	+143	9,156,066	+29,938	1,076,766	895	151,743	2,126	366,108,215	5,352,959	68,393,618	Europe
5	Russia	9,736,037	+32,930	278,857	+1,217	8,436,631	+36,514	1,020,549	2,300	66,674	1,910	226,800,000	1,553,174	146,023,563	Europe
6	Turkey	8,861,386	+21,495	77,417	+187	8,392,971	+20,193	390,998	1,405	103,484	904	108,745,783	1,269,946	85,630,260	Asia
7	France	7,823,388	+49,858	119,457	+127	7,155,819	+14,543	548,112	2,058	119,479	1,824	162,981,031	2,489,052	65,479,150	Europe
8	Iran	6,129,199	+3,603	130,066	+78	5,908,901	+7,369	90,232	3,296	71,668	1,521	39,093,355	457,114	85,522,195	Asia
9	Germany	6,097,477	+70,681	103,308	+399	5,023,300	+43,600	970,869	4,636	72,446	1,227	85,782,441	1,019,213	84,165,340	Europe
10	Argentina	5,337,692	+2,382	116,639	+22	5,198,099	+2,003	22,954	657	116,579	2,547	26,355,038	575,614	45,785,918	South America
11	Spain	5,202,958	+13,738	88,159	+37	4,927,391	+1,413	187,408	814	111,221	1,885	66,213,858	1,415,414	46,780,564	Europe
12	Italy	5,077,440	+17,025	134,077	+74	4,727,214	+9,658	216,149	708	84,154	2,222	121,173,417	2,008,336	60,335,220	Europe
13	Colombia	5,076,378	+2,299	128,685	+42	4,916,313	+2,392	31,380	342	98,276	2,491	28,258,816	547,073	51,654,519	South America
14	Indonesia	4,257,243	+245	143,858	+8	4,105,680	+328	7,705		15,334	518	55,342,143	199,331	277,638,777	Asia
15	Mexico	3,894,364	+3,146	294,715	+287	3,250,478	+2,466	349,171	4,798	29,760	2,252	11,904,011	90,967	130,860,095	North America
16	Poland	3,623,451	+26,964	85,128	+472	3,091,259	+25,041	447,064	1,968	95,890	2,253	24,764,134	655,351	37,787,584	Europe
17	Ukraine	3,477,649	+13,777	87,566	+509	3,018,620	+22,893	371,463	177	80,205	2,020	16,009,215	369,220	43,359,522	Europe
18	South Africa	3,004,203	+16,055	89,944	+29	2,852,898	+1,993	61,361	546	49,761	1,490	19,646,423	325,421	60,372,382	Africa
19	Philippines	2,833,777	+443	48,987	+235	2,769,587	+407	15,203	1,023	25,380	439	24,313,150	217,751	111,655,624	Asia
20	Netherlands	2,706,263	+21,529	19,586	+62	2,137,058	+9,044	549,619	609	157,443	1,139	19,205,114	1,117,301	17,188,851	Europe
21	Malaysia	2,649,578	+5,551	30,538	+17	2,556,554	+5,301	62,486	499	80,398	927	38,161,832	1,157,968	32,955,873	Asia
22	Peru	2,241,027	+1,606	201,326	+44	N/A	N/A	N/A	967	66,647	5,987	20,463,224	608,570	33,625,115	South America
23	Czechia	2,212,056	+18,596	33,523	+109	1,894,921	+500	283,612	1,056	206,017	3,122	44,071,446	4,104,531	10,737,268	Europe
24	Thailand	2,130,641	+4,912	20,878	+33	2,037,000	+5,844	72,763	1,369	30,416	298	14,913,135	212,895	70,049,337	Asia
25	Iraq	2,083,515	+741	23,867	+8	2,048,378	+1,112	11,270	100	50,199	575	16,405,036	395,255	41,504,977	Asia
26	Belgium	1,809,557	+23,113	27,120	+48	1,351,555	+5,627	430,882	793	155,175	2,326	24,998,146	2,143,662	11,661,424	Europe
27	Canada	1,802,359	+3,487	29,757	+20	1,745,281	+2,757	27,321	497	47,166	779	49,099,908	1,284,899	38,213,055	North America
28	Romania	1,783,630	+1,673	56,910	+183	1,695,283	+3,927	31,437	1,031	93,605	2,987	16,108,574	845,377	19,054,895	Europe
29	Chile	1,768,584	+2,091	38,439	+36	1,661,024	+1,253	69,121	692	91,401	1,987	25,803,364	1,333,527	19,349,711	South America
30	Japan	1,727,560	+130	18,363	+1	1,708,345	+126	852	32	13,719	146	28,040,512	222,676	125,925,054	Asia
31	Bangladesh	1,577,070	+243	27,989	+3	1,541,886	+225	7,195	1,382	9,442	168	10,946,046	65,536	167,023,961	Asia
32	Israel	1,345,083	+415	8,199		1,331,497	+434	5,387	112	144,229	879	31,188,024	3,344,202	9,326,000	Asia
33	Pakistan	1,286,022	+391	28,753	+8	1,245,155	+2,437	12,114	895	5,666	127	22,118,750	97,444	226,988,925	Asia
34	Vietnam	1,280,780	+13,670	25,858	+200	1,006,459	+1,149	248,463	6,449	12,992	262	69,433,777	704,305	98,584,854	Asia
35	Serbia	1,260,806	+1,801	11,837	+45	1,202,858	+3,439	46,111	172	145,133	1,363	6,860,373	789,706	8,687,247	Europe
36	Sweden	1,212,145		15,136		1,161,101	+828	35,908	43	118,967	1,486	13,708,481	1,345,433	10,188,897	Europe
37	Austria	1,185,982	+6,738	12,693	+68	1,050,051	+13,498	123,238	643	130,621	1,398	111,937,966	12,328,589	9,079,544	Europe
38	Portugal	1,157,352	+2,535	18,492	+21	1,082,421	+3,713	56,439	129	113,976	1,821	21,283,107	2,095,956	10,154,367	Europe
39	Hungary	1,134,869	+10,143	35,122	+191	910,745	+8,745	189,002	566	117,903	3,649	8,559,975	889,309	9,625,418	Europe
40	Switzerland	1,039,730	+4,838	11,612	+9	867,860	+2,970	160,258	213	118,898	1,328	12,597,593	1,440,598	8,744,699	Europe
41	Kazakhstan	973,769	+724	12,734	+18	939,566	+1,231	21,469	528	50,993	667	11,575,012	606,142	19,096,213	Asia
42	Jordan	968,425	+4,770	11,687	+26	897,728	+3,651	59,010	1,144	93,592	1,129	12,320,807	1,190,732	10,347,257	Asia
43	Cuba	962,892	+114	8,306	+1	953,882	+160	704	22	85,085	734	11,160,862	986,223	11,316,771	North America
44	Greece	957,552	+6,201	18,427	+102	860,595	+4,017	78,530	694	92,512	1,780	37,549,349	3,627,767	10,350,540	Europe
45	Morocco	950,374	+151	14,784	+2	932,737	+172	2,853	347	25,321	394	10,477,982	279,168	37,532,940	Africa
