#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
	Asia	130053608	1001866	1379559	1912	114099657	359473	14574392	28743						Asia
	North America	95945587	52925	1429148	1294	69719366	211449	24797073	9318						North America
	South America	55496018	74623	1270283	762	50556794	97661	3668941	12196						South America
	Europe	168362416	869303	1748079	1964	148720760	660842	17893577	11499						Europe
	Oceania	4464011	73298	8380	39	3884664	49643	570967	151						Australia/Oceania
	Africa	11652330	2993	251953	88	10816170	3737	584207	1508						Africa
		721		15		706		0	0						
	World	465974691	2075008	6087417	6059	397798117	1382805	62089157	63415	59780	781.0				All
