#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
	Asia	130843285	759920	1381176	1617	114479957	379590	14982152	28117						Asia
	North America	96007794	51689	1430500	1008	69901112	173954	24676182	9106						North America
	South America	55577680	80742	1270883	600	50636475	79681	3670322	12143						South America
	Europe	169344909	852167	1750276	1828	149442372	675968	18152261	11441						Europe
	Oceania	4527487	63476	8412	32	3975649	90985	543426	144						Australia/Oceania
	Africa	11654684	2354	252004	51	10818899	2729	583781	1497						Africa
		721		15		706		0	0						
	World	467956560	1810348	6093266	5136	399255170	1402907	62608124	62448	60034	781.7				All
