#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
	Asia	127820351	734123	1376074	1639	113342911	331791	13101366	29002						Asia
	North America	95805128	45774	1424686	1002	69309904	194676	25070538	9668						North America
	South America	55352084	67549	1269021	468	50325708	176511	3757355	12367						South America
	Europe	166597033	771242	1743316	2113	147327746	779725	17525971	11844						Europe
	Africa	11645050	11342	251809	25	10804954	13295	588287	1512						Africa
	Oceania	4312101	56946	8295	30	3754838	19618	548968	159						Australia/Oceania
		721		15		706		0	0						
	World	461532468	1686976	6073216	5277	394866767	1515616	60592485	64552	59210	779.1				All
