#	Country	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Cases/1M pop	Deaths/1M pop	Total tests	Tests/1M pop	Population	Continent	Date
102	Montenegro	156873.0	265.0	2285.0	2.0	151851.0	384.0	2737.0	60.0	249727.0	3638.0	903392.0	1438115.0	628178.0	Europe	2021-11-28
103	Mozambique	151524.0	9.0	1940.0	0.0	149485.0	14.0	99.0	8.0	4664.0	60.0	976023.0	30044.0	32486827.0	Africa	2021-11-28
104	Zimbabwe	133991.0	40.0	4705.0	0.0	128655.0	9.0	631.0	12.0	8834.0	310.0	1585579.0	104537.0	15167676.0	Africa	2021-11-28
105	Cyprus	133274.0	337.0	594.0	2.0	124370.0	0.0	8310.0	37.0	109264.0	487.0	9477138.0	7769751.0	1219748.0	Asia	2021-11-28
106	Ghana	130920.0	0.0	1209.0	0.0	129042.0	0.0	669.0	5.0	4093.0	38.0	1933408.0	60446.0	31985843.0	Africa	2021-11-28
107	Namibia	129180.0	20.0	3573.0	0.0	125483.0	11.0	124.0	2.0	49576.0	1371.0	786776.0	301945.0	2605692.0	Africa	2021-11-28
108	Uganda	127451.0	28.0	3252.0	0.0	97847.0	418.0	26352.0	127.0	2668.0	68.0	1948131.0	40780.0	47771484.0	Africa	2021-11-28
109	Cambodia	120087.0	23.0	2931.0	4.0	116466.0	20.0	690.0	0.0	7045.0	172.0	2713661.0	159207.0	17044899.0	Asia	2021-11-28
110	El Salvador	119803.0	112.0	3771.0	2.0	102982.0	1890.0	13050.0	336.0	18340.0	577.0	1440742.0	220555.0	6532345.0	North America	2021-11-28
111	Cameroon	106794.0	0.0	1791.0	0.0	102716.0	0.0	2287.0	152.0	3887.0	65.0	1751774.0	63758.0	27475438.0	Africa	2021-11-28
112	Rwanda	100330.0	5.0	1342.0	0.0	45521.0	0.0	53467.0	1.0	7485.0	100.0	3460087.0	258140.0	13403894.0	Africa	2021-11-28
113	China	98631.0	23.0	4636.0	0.0	93210.0	47.0	785.0	7.0	69.0	3.0	160000000.0	111163.0	1439323776.0	Asia	2021-11-28
114	Maldives	91464.0	114.0	248.0	0.0	89434.0	139.0	1782.0	23.0	165113.0	448.0	1743453.0	3147317.0	553949.0	Asia	2021-11-28
115	Jamaica	91169.0	47.0	2388.0	3.0	62444.0	97.0	26337.0	9.0	30600.0	802.0	670794.0	225145.0	2979390.0	North America	2021-11-28
116	Luxembourg	88108.0	0.0	866.0	0.0	83258.0	0.0	3984.0	10.0	137600.0	1352.0	3675228.0	5739674.0	640320.0	Europe	2021-11-28
117	Senegal	73985.0	4.0	1885.0	0.0	72087.0	3.0	13.0	2.0	4261.0	109.0	872160.0	50227.0	17364537.0	Africa	2021-11-28
118	Laos	71518.0	1195.0	159.0	5.0	7339.0	0.0	64020.0	0.0	9633.0	21.0	776984.0	104655.0	7424266.0	Asia	2021-11-28
119	Trinidad and Tobago	70136.0	456.0	2115.0	25.0	57544.0	296.0	10477.0	22.0	49888.0	1504.0	443512.0	315470.0	1405878.0	North America	2021-11-28
120	Angola	65144.0	5.0	1733.0	0.0	63197.0	5.0	214.0	3.0	1899.0	51.0	1179270.0	34378.0	34303404.0	Africa	2021-11-28
121	Malawi	61897.0	8.0	2305.0	1.0	58765.0	2.0	827.0	67.0	3122.0	116.0	440594.0	22224.0	19825270.0	Africa	2021-11-28
122	Ivory Coast	61708.0	4.0	704.0	0.0	60702.0	18.0	302.0	0.0	2261.0	26.0	1131105.0	41437.0	27297192.0	Africa	2021-11-28
123	Réunion	59048.0	0.0	381.0	0.0	56040.0	0.0	2627.0	18.0	65296.0	421.0	1347378.0	1489938.0	904318.0	Africa	2021-11-28
124	DRC	58115.0	0.0	1104.0	0.0	50930.0	0.0	6081.0	0.0	622.0	12.0	306299.0	3280.0	93389220.0	Africa	2021-11-28
125	Guadeloupe	55147.0	0.0	746.0	0.0	2250.0	0.0	52151.0	23.0	137792.0	1864.0	551264.0	1377402.0	400220.0	North America	2021-11-28
126	Fiji	52506.0	8.0	696.0	0.0	51013.0	22.0	797.0	0.0	57979.0	769.0	460318.0	508301.0	905601.0	Australia/Oceania	2021-11-28
127	Suriname	50741.0	31.0	1164.0	2.0	29567.0	1.0	20010.0	10.0	85417.0	1959.0	158501.0	266819.0	594040.0	South America	2021-11-28
128	Syria	47965.0	102.0	2739.0	6.0	28981.0	95.0	16245.0	0.0	2650.0	151.0	103566.0	5722.0	18098765.0	Asia	2021-11-28
129	Eswatini	46538.0	10.0	1248.0	0.0	45241.0	3.0	49.0	10.0	39536.0	1060.0	387508.0	329208.0	1177091.0	Africa	2021-11-28
130	French Guiana	45864.0	0.0	326.0	0.0	11254.0	0.0	34284.0	11.0	148153.0	1053.0	447549.0	1445707.0	309571.0	South America	2021-11-28
131	French Polynesia	45609.0	0.0	636.0	0.0	0.0	0.0	0.0	7.0	161050.0	2246.0	0.0	0.0	283197.0	Australia/Oceania	2021-11-28
132	Martinique	44318.0	0.0	700.0	0.0	104.0	0.0	43514.0	1.0	118227.0	1867.0	416247.0	1110421.0	374855.0	North America	2021-11-28
133	Madagascar	44072.0	0.0	967.0	0.0	42767.0	0.0	338.0	3.0	1536.0	34.0	249510.0	8696.0	28692364.0	Africa	2021-11-28
134	Sudan	42056.0	0.0	3114.0	0.0	32905.0	0.0	6037.0	0.0	929.0	69.0	238579.0	5268.0	45289797.0	Africa	2021-11-28
135	Malta	39234.0	72.0	468.0	0.0	37293.0	43.0	1473.0	1.0	88524.0	1056.0	1211456.0	2733423.0	443201.0	Europe	2021-11-28
136	Mauritania	39178.0	63.0	831.0	0.0	37380.0	54.0	967.0	14.0	8126.0	172.0	500581.0	103821.0	4821560.0	Africa	2021-11-28
137	Cabo Verde	38362.0	4.0	349.0	0.0	37946.0	9.0	67.0	23.0	67958.0	618.0	211166.0	374079.0	564496.0	Africa	2021-11-28
138	Guyana	37773.0	66.0	987.0	1.0	35265.0	24.0	1521.0	17.0	47699.0	1246.0	389445.0	491784.0	791903.0	South America	2021-11-28
139	Gabon	37298.0	0.0	279.0	0.0	32019.0	0.0	5000.0	8.0	16219.0	121.0	1396270.0	607172.0	2299627.0	Africa	2021-11-28
140	Papua New Guinea	35029.0	83.0	545.0	3.0	33828.0	327.0	656.0	7.0	3813.0	59.0	249149.0	27124.0	9185619.0	Australia/Oceania	2021-11-28
141	Guinea	30768.0	5.0	387.0	0.0	29725.0	0.0	656.0	46.0	2257.0	28.0	569542.0	41774.0	13633779.0	Africa	2021-11-28
142	Belize	30165.0	0.0	570.0	0.0	28421.0	0.0	1174.0	10.0	73972.0	1398.0	345261.0	846662.0	407791.0	North America	2021-11-28
143	Tanzania	26261.0	0.0	730.0	0.0	0.0	0.0	0.0	7.0	423.0	12.0	0.0	0.0	62126685.0	Africa	2021-11-28
144	Togo	26241.0	0.0	243.0	0.0	25900.0	0.0	98.0	0.0	3069.0	28.0	576999.0	67472.0	8551728.0	Africa	2021-11-28
145	Barbados	25038.0	115.0	225.0	2.0	21118.0	321.0	3695.0	0.0	86976.0	782.0	434521.0	1509430.0	287871.0	North America	2021-11-28
146	Haiti	25027.0	0.0	723.0	0.0	20973.0	0.0	3331.0	0.0	2158.0	62.0	132422.0	11417.0	11598368.0	North America	2021-11-28
147	Benin	24850.0	0.0	161.0	0.0	24546.0	0.0	143.0	5.0	1977.0	13.0	604310.0	48076.0	12569832.0	Africa	2021-11-28
148	Seychelles	23197.0	0.0	125.0	0.0	22590.0	0.0	482.0	0.0	233829.0	1260.0	0.0	0.0	99205.0	Africa	2021-11-28
149	Somalia	23016.0	0.0	1327.0	0.0	12046.0	0.0	9643.0	0.0	1393.0	80.0	262138.0	15871.0	16516763.0	Africa	2021-11-28
150	Bahamas	22734.0	0.0	671.0	0.0	21604.0	0.0	459.0	4.0	57043.0	1684.0	167558.0	420431.0	398539.0	North America	2021-11-28
151	Lesotho	21768.0	0.0	662.0	0.0	13685.0	0.0	7421.0	0.0	10049.0	306.0	257888.0	119052.0	2166185.0	Africa	2021-11-28
152	Mauritius	21325.0	134.0	455.0	0.0	19425.0	120.0	1445.0	0.0	16729.0	357.0	358675.0	281370.0	1274744.0	Africa	2021-11-28
153	Mayotte	20938.0	0.0	185.0	0.0	2964.0	0.0	17789.0	0.0	74228.0	656.0	176919.0	627203.0	282076.0	Africa	2021-11-28
154	Burundi	20386.0	0.0	38.0	0.0	773.0	0.0	19575.0	0.0	1646.0	3.0	345742.0	27908.0	12388680.0	Africa	2021-11-28
155	Timor-Leste	19822.0	0.0	122.0	0.0	19697.0	1.0	3.0	0.0	14642.0	90.0	169501.0	125204.0	1353796.0	Asia	2021-11-28
156	Congo	18837.0	0.0	349.0	0.0	12421.0	0.0	6067.0	0.0	3299.0	61.0	188207.0	32966.0	5709163.0	Africa	2021-11-28
157	Iceland	17701.0	64.0	35.0	0.0	15665.0	0.0	2001.0	3.0	51402.0	102.0	1236987.0	3592081.0	344365.0	Europe	2021-11-28
158	Curaçao	17397.0	7.0	178.0	0.0	17106.0	4.0	113.0	3.0	105411.0	1079.0	334926.0	2029375.0	165039.0	North America	2021-11-28
159	Mali	17339.0	39.0	605.0	2.0	15128.0	14.0	1606.0	0.0	823.0	29.0	487323.0	23128.0	21070984.0	Africa	2021-11-28
160	Channel Islands	17326.0	0.0	103.0	0.0	15135.0	0.0	2088.0	0.0	98376.0	585.0	1067673.0	6062156.0	176121.0	Europe	2021-11-28
161	Nicaragua	17152.0	0.0	209.0	0.0	4225.0	0.0	12718.0	0.0	2546.0	31.0	0.0	0.0	6735600.0	North America	2021-11-28
162	Tajikistan	17095.0	0.0	124.0	0.0	16966.0	0.0	5.0	0.0	1737.0	13.0	0.0	0.0	9839097.0	Asia	2021-11-28
163	Andorra	16712.0	0.0	131.0	0.0	15770.0	0.0	811.0	4.0	215809.0	1692.0	193595.0	2499968.0	77439.0	Europe	2021-11-28
164	Taiwan	16588.0	10.0	848.0	0.0	15597.0	3.0	143.0	0.0	695.0	36.0	8329122.0	348826.0	23877563.0	Asia	2021-11-28
165	Aruba	16324.0	12.0	174.0	0.0	15978.0	23.0	172.0	11.0	151985.0	1620.0	177885.0	1656208.0	107405.0	North America	2021-11-28
166	Burkina Faso	15711.0	0.0	281.0	0.0	15211.0	0.0	219.0	0.0	724.0	13.0	230176.0	10603.0	21709361.0	Africa	2021-11-28
167	Brunei	15036.0	44.0	97.0	0.0	14412.0	45.0	527.0	0.0	33912.0	219.0	612963.0	1382472.0	443382.0	Asia	2021-11-28
168	Equatorial Guinea	13579.0	0.0	173.0	0.0	13323.0	0.0	83.0	1.0	9251.0	118.0	242340.0	165108.0	1467764.0	Africa	2021-11-28
169	Djibouti	13504.0	0.0	186.0	0.0	13291.0	0.0	27.0	0.0	13394.0	184.0	246141.0	244130.0	1008237.0	Africa	2021-11-28
170	Saint Lucia	12970.0	16.0	280.0	0.0	12562.0	9.0	128.0	7.0	70180.0	1515.0	99688.0	539408.0	184810.0	North America	2021-11-28
171	South Sudan	12717.0	0.0	133.0	0.0	12395.0	0.0	189.0	2.0	1118.0	12.0	259491.0	22805.0	11378632.0	Africa	2021-11-28
