Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8785604.0	20710.0	224097.0	117.0	8147216.0	6524.0	414291.0	1827.0	2021-12-03
Asia	82386227.0	84194.0	1218235.0	1452.0	79655456.0	72302.0	1512536.0	29832.0	2021-12-03
Europe	74957089.0	420727.0	1428266.0	4242.0	65727109.0	275579.0	7801714.0	22289.0	2021-12-03
North America	59603308.0	156853.0	1199939.0	1711.0	47981417.0	83473.0	10421952.0	19747.0	2021-12-03
Oceania	373846.0	1692.0	4245.0	13.0	333700.0	1373.0	35901.0	160.0	2021-12-03
South America	39053513.0	21028.0	1183281.0	393.0	37128758.0	13163.0	741474.0	12732.0	2021-12-03
