Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8724513.0	6273.0	223520.0	164.0	8122708.0	6493.0	378285.0	1915.0	2021-11-30
Asia	82035881.0	79819.0	1212640.0	1158.0	79321576.0	103816.0	1501665.0	29720.0	2021-11-30
Europe	73326357.0	294646.0	1410909.0	3603.0	64622421.0	233859.0	7293027.0	21047.0	2021-11-30
North America	59022706.0	82693.0	1192384.0	628.0	47610590.0	105462.0	10219732.0	18854.0	2021-11-30
Oceania	366418.0	1439.0	4201.0	3.0	328841.0	1147.0	33376.0	167.0	2021-11-30
South America	38968594.0	12373.0	1181581.0	285.0	37046811.0	18102.0	740202.0	12670.0	2021-11-30
