Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8712648.0	5743.0	223283.0	119.0	8109400.0	3727.0	379965.0	1855.0	2021-11-27
Asia	81874608.0	87041.0	1210212.0	1630.0	79143052.0	84218.0	1521344.0	29063.0	2021-11-27
Europe	72724079.0	345587.0	1404512.0	3493.0	64161476.0	244224.0	7158091.0	20808.0	2021-11-27
North America	58755606.0	31908.0	1189535.0	365.0	47321802.0	26991.0	10244269.0	18606.0	2021-11-27
Oceania	363502.0	1701.0	4190.0	5.0	326081.0	875.0	33231.0	165.0	2021-11-27
South America	38941468.0	20069.0	1180956.0	412.0	37016060.0	13437.0	744452.0	12633.0	2021-11-27
