Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8748390.0	12802.0	223815.0	149.0	8135065.0	5173.0	389510.0	1847.0	2021-12-01
Asia	82214757.0	90433.0	1215458.0	1551.0	79494841.0	80532.0	1504458.0	30870.0	2021-12-01
Europe	74107717.0	417282.0	1419797.0	4383.0	65148910.0	259272.0	7539010.0	22015.0	2021-12-01
North America	59290493.0	140693.0	1196332.0	2060.0	47817170.0	91377.0	10276991.0	19501.0	2021-12-01
Oceania	372154.0	2016.0	4232.0	14.0	332327.0	1047.0	35595.0	157.0	2021-12-01
South America	39008494.0	20624.0	1182464.0	405.0	37096290.0	24269.0	729740.0	12706.0	2021-12-01
