Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8724513.0	6273.0	223520.0	164.0	8122708.0	6493.0	378285.0	1915.0	2021-11-29
Asia	82035881.0	79819.0	1212640.0	1158.0	79311197.0	93437.0	1512044.0	29720.0	2021-11-29
Europe	73326683.0	294719.0	1410843.0	3589.0	64622421.0	233859.0	7293419.0	21047.0	2021-11-29
North America	59013061.0	81346.0	1192270.0	626.0	47579758.0	98837.0	10241033.0	18854.0	2021-11-29
Oceania	366418.0	1439.0	4201.0	3.0	328841.0	1147.0	33376.0	167.0	2021-11-29
South America	38968594.0	12373.0	1181581.0	285.0	37046811.0	18102.0	740202.0	12670.0	2021-11-29
