Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8858307.0	23708.0	224560.0	134.0	8176467.0	9264.0	457280.0	1801.0	2021-12-07
Asia	82703956.0	85080.0	1225703.0	1196.0	79942641.0	76900.0	1535612.0	30069.0	2021-12-07
Europe	76297484.0	367513.0	1442291.0	4303.0	66837572.0	290376.0	8017621.0	22677.0	2021-12-07
North America	60049905.0	128644.0	1205259.0	2133.0	48297629.0	77046.0	10547017.0	20385.0	2021-12-07
Oceania	380326.0	1650.0	4302.0	32.0	339698.0	5105.0	36326.0	149.0	2021-12-07
South America	39121372.0	20436.0	1184711.0	434.0	37191163.0	23835.0	745498.0	12806.0	2021-12-07
