Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8821035.0	14686.0	224283.0	82.0	8159338.0	7103.0	437414.0	1837.0	2021-12-05
Asia	82544385.0	78617.0	1223335.0	1185.0	79789963.0	71301.0	1531087.0	30145.0	2021-12-05
Europe	75621923.0	297703.0	1434269.0	2463.0	66243644.0	211435.0	7944010.0	22119.0	2021-12-05
North America	59803170.0	86268.0	1201949.0	719.0	48087059.0	50237.0	10514162.0	19790.0	2021-12-05
Oceania	378676.0	1480.0	4270.0	6.0	334593.0	286.0	39813.0	143.0	2021-12-05
South America	39087594.0	12877.0	1183988.0	190.0	37150839.0	11973.0	752767.0	12741.0	2021-12-05
