Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8764894.0	16504.0	223980.0	165.0	8140692.0	5627.0	400222.0	1824.0	2021-12-02
Asia	82301211.0	86454.0	1216783.0	1325.0	79583154.0	88313.0	1501274.0	30567.0	2021-12-02
Europe	74537246.0	429529.0	1423990.0	4193.0	65397130.0	248220.0	7716126.0	22111.0	2021-12-02
North America	59432665.0	142172.0	1197863.0	1531.0	47897944.0	80774.0	10336858.0	19613.0	2021-12-02
Oceania	373793.0	1639.0	4246.0	14.0	332392.0	65.0	37155.0	160.0	2021-12-02
South America	39032485.0	23991.0	1182888.0	424.0	37115595.0	19305.0	734002.0	12717.0	2021-12-02
