Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8834593.0	13558.0	224426.0	143.0	8167202.0	7864.0	442965.0	1809.0	2021-12-06
Asia	82618876.0	74491.0	1224507.0	1172.0	79865741.0	75778.0	1528628.0	29992.0	2021-12-06
Europe	75929773.0	286276.0	1437946.0	3620.0	66538359.0	271231.0	7953468.0	22300.0	2021-12-06
North America	59911171.0	97681.0	1202976.0	851.0	48218613.0	131554.0	10489582.0	20012.0	2021-12-06
Oceania	378676.0	1480.0	4270.0	6.0	334593.0	287.0	39813.0	143.0	2021-12-06
South America	39100936.0	13342.0	1184277.0	289.0	37167328.0	16489.0	749331.0	12763.0	2021-12-06
