Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8888493.0	30186.0	224716.0	156.0	8183770.0	7303.0	480007.0	1799.0	2021-12-08
Asia	82789830.0	85874.0	1226924.0	1221.0	80045125.0	102484.0	1517781.0	30430.0	2021-12-08
Europe	76710633.0	412737.0	1446817.0	4501.0	67137415.0	291642.0	8126401.0	22775.0	2021-12-08
North America	60189260.0	138689.0	1207219.0	1725.0	48377110.0	79481.0	10604931.0	20465.0	2021-12-08
Oceania	382196.0	1870.0	4310.0	8.0	343127.0	3429.0	34759.0	148.0	2021-12-08
South America	39140755.0	19383.0	1185081.0	370.0	37210945.0	19782.0	744729.0	12791.0	2021-12-08
