Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8806171.0	20567.0	224195.0	98.0	8152235.0	5019.0	429741.0	1820.0	2021-12-04
Asia	82465768.0	79468.0	1222150.0	1487.0	79718662.0	63123.0	1524956.0	30018.0	2021-12-04
Europe	75301457.0	344807.0	1431696.0	3419.0	66004362.0	258731.0	7865399.0	22222.0	2021-12-04
North America	59668331.0	64996.0	1200661.0	722.0	48022070.0	40653.0	10445600.0	19734.0	2021-12-04
Oceania	378605.0	1418.0	4270.0	6.0	334353.0	51.0	39982.0	145.0	2021-12-04
South America	39072413.0	18900.0	1183564.0	283.0	37138866.0	10108.0	749983.0	12737.0	2021-12-04
