Continent	Total Cases	New Cases	Total Deaths	New Deaths	Total Recover	New Recorver	Active Cases	Serious Critical	Date
Africa	8718219.0	5571.0	223356.0	73.0	8116611.0	5766.0	378252.0	1866.0	2021-11-28
Asia	81956041.0	79958.0	1211482.0	1269.0	79217760.0	74708.0	1526799.0	29644.0	2021-11-28
Europe	73008287.0	276863.0	1407126.0	2596.0	64354693.0	191333.0	7246468.0	20853.0	2021-11-28
North America	58909831.0	61140.0	1191358.0	667.0	47425843.0	47257.0	10292630.0	18726.0	2021-11-28
Oceania	364979.0	1477.0	4198.0	8.0	327694.0	1613.0	33087.0	165.0	2021-11-28
South America	38956036.0	12385.0	1181281.0	234.0	37028709.0	12649.0	746046.0	12643.0	2021-11-28
